lr,batch_size,num_epochs,weight_decay,num_layers_unfrozen,average_f1_score
2e-05,16,5,0.0,3,0.5538104721858226
2e-05,16,5,0.0,4,0.5521323230493087
2e-05,16,5,0.0,5,0.5477703313519672
3e-05,16,5,0.0,3,0.5356305520450471
3e-05,16,5,0.0,4,0.5364491843987771
3e-05,16,5,0.0,5,0.5260004650299812
5e-05,16,5,0.0,3,0.5331239868154554
5e-05,16,5,0.0,4,0.5239172668577764
5e-05,16,5,0.0,5,0.5241151734735076
2e-05,32,5,0.0,3,0.5637985629134945
2e-05,32,5,0.0,4,0.5445328878552461
2e-05,32,5,0.0,5,0.5496982918146854
3e-05,32,5,0.0,3,0.5573993541385489
3e-05,32,5,0.0,4,0.545536000451478
3e-05,32,5,0.0,5,0.5351444134364379
5e-05,32,5,0.0,3,0.5330216743310283
5e-05,32,5,0.0,4,0.5329454062229999
5e-05,32,5,0.0,5,0.5320437802748496